ID,mang_fish_dens,mang_invert_dens,mang_spec_score,salt_spec_score,seag_spec_score,mang_frag_area_mn_rate,mang_frag_area_mn,mang_mean_age,mang_mean_agb_mg_ha,mang_mean_SOC,mang_mean_height_m,pressure_seagrass_climate_current,pressure_seagrass_land_current,pressure_seagrass_marine_current,pressure_seagrass_climate_rate,pressure_seagrass_land_rate,pressure_seagrass_marine_rate,pressure_mangrove_climate_current,pressure_mangrove_land_current,pressure_mangrove_marine_current,pressure_mangrove_climate_rate,pressure_mangrove_land_rate,pressure_mangrove_marine_rate,pressure_saltmarsh_climate_current,pressure_saltmarsh_land_current,pressure_saltmarsh_marine_current,pressure_saltmarsh_climate_rate,pressure_saltmarsh_land_rate,pressure_saltmarsh_marine_rate,mang_spec_prop,salt_spec_prop,seag_spec_prop,mang_loss_rate,seag_change_rate
18684,0.414556505,0.416139323,1.869012544,-0.254621038,0.547422816,0.170136663,-1.662107405,-1.362918259,-0.244936499,-0.11404066,-0.731410508,0.856643125,0.009327987,0.034469516,0.063152613,-0.361141548,0.77037997,1.455576331,-0.240675979,-0.249399333,0.033529634,-0.380172753,0.692776351,1.622963442,0.004638311,-0.311676412,0.528956641,-0.310307833,0.949498868,-1.33570691,0.47225639,-0.37939531,-0.001712217,0.007204813
18685,0.275316061,0.253967542,1.956775783,-0.83391299,1.798218811,0.278991248,-0.538870423,-0.345295344,0.245295486,0.220870238,0.402763723,-0.055269793,0.730892016,0.356533438,-0.266227342,-0.161707383,0.491078643,0.51781595,0.320369254,-0.110305072,-0.001889457,-0.390453487,0.34519815,0.665654885,0.596258106,-0.259220644,0.345570927,-0.192420664,0.303837962,-1.490562812,1.340505821,-1.304228332,-0.00121589,-0.02107712
18686,0.263627555,0.24206012,1.984840993,-0.820782634,1.749594219,0.622416309,0.466901731,0.376974599,0.318422915,0.20161312,0.714618465,-0.478217869,0.593041479,0.353532822,-0.358387329,-0.080377677,-0.609402595,-0.502485602,0.334176356,0.229990292,-0.384821515,-0.045073899,-0.285766137,-0.353852101,0.500189985,0.369997735,-0.011459219,-0.108502774,-0.306410449,-1.517980398,1.361998318,-1.309213145,0.000578198,0.009700048
18687,0.124495374,0.098611632,1.957282731,-0.882621146,1.679718676,0.643969674,0.224497319,0.199480947,0.236719938,0.161394985,0.620886858,-0.604360617,0.052400047,-1.020504421,-0.327031368,0.121842947,-0.772182199,-0.43680253,-0.660085505,-1.050476607,-0.28781826,-0.144773763,-0.679618612,-0.198407769,-0.049328141,-1.082029122,0.122430837,0.171306407,-0.794419245,-1.45090034,1.495204603,-1.194474859,0.000795377,0.019542556
18718,-0.29170805,-0.34161449,0.59025656,-0.850718969,0.391829759,0.268157424,-0.194170111,0.067634158,0.025226537,-0.015267837,-0.036462719,-0.229354179,0.563952091,-0.041061447,-1.462716134,0.212237783,-0.204733744,-0.011304673,0.089384045,-0.421399108,-1.415306843,-0.016390071,-0.471905448,0.012641541,0.266631531,-0.457073676,-1.407433709,0.274917097,-0.558640461,-0.453603037,0.848369334,-0.398786894,8.91E-06,0.068896631
19075,0.121246237,0.111810005,0.931400592,-0.621707791,1.200108995,0.078696036,0.293889458,-0.058755418,0.934007651,0.44860861,1.367985885,-0.439247806,0.759606295,0.11421404,-1.112157901,-0.182329974,0.060782847,-0.306705305,0.491131918,0.231484175,-0.950571071,-0.151642654,0.251469493,-0.277451767,0.285071497,-0.313216157,-0.796697153,-0.123381214,-0.333494115,-0.76940296,0.721602276,-0.960638541,0.000708484,0.015576093
19076,-0.162132287,-0.202617411,0.856444403,-0.731448842,1.110070577,0.377053468,0.376431315,0.408009926,0.938852783,0.42880736,1.410521548,-0.536378022,1.020869183,0.078158455,-1.442101364,-0.038657495,-0.21117589,-0.442749135,0.500717784,-0.334671385,-1.427797083,0.056220443,-0.168620577,-0.331037519,0.400719097,0.040353463,-1.214203781,0.080088936,0.215214591,-0.717024409,0.834746407,-0.929848333,0.001319964,0.14344011
19077,-0.265393149,-0.317003563,0.856230661,-0.735337235,0.753641019,0.226226468,0.192329476,0.046421033,0.524461722,0.215019323,0.716430003,-0.218186369,0.682662708,-0.111033229,-1.353528385,-0.183657279,-0.159125158,-0.134996423,0.218572388,-0.12411079,-1.437927117,-0.121190071,0.009071367,0.015944952,0.349103831,-0.367517901,-1.055380785,-0.092803897,-0.426241888,-0.686851229,0.839552479,-0.662236478,0.00109723,0.096617289
19410,0.403850738,0.399587485,2.045606934,-0.373621323,0.640672473,0.457813189,-0.8080904,-0.82726283,0.017468342,-0.170240157,-0.145436864,0.200288787,0.235367397,-0.513968731,-0.051095436,-0.491573479,0.022760878,0.555681708,-0.128273193,-0.757005704,-0.024349256,-0.529159231,-0.12635726,0.606679397,0.278680938,-0.780138656,0.426102414,-0.41945012,-0.003151466,-1.455803691,0.710886038,-0.45444679,0.000405027,0.025290357
19411,0.025945532,-0.027676362,2.082771836,-0.55112945,0.534655674,0.351808857,-0.616023078,-0.364070672,0.054052912,-0.12299388,-0.016065041,-0.502688589,0.309840091,0.553143245,-1.581397778,-0.311763473,-0.128768142,-0.269090739,-0.002705885,0.221804203,-1.570902989,-0.165424469,0.227441865,-0.079067699,0.084046409,0.414916592,-1.332730436,-0.192926571,0.435760087,-1.537031592,0.516598215,-0.541874749,-0.000362594,0.076597304
19435,-0.063688702,-0.093441071,0.931516446,-0.727230928,0.841431271,0.352715258,0.276379267,0.323652069,0.862992629,0.268212678,1.242778378,-0.709736856,0.820092093,0.124914185,-1.018260249,-0.246064966,-0.458978557,-0.638389026,0.368782341,-0.349096965,-0.941804052,-0.129558079,-0.40314486,-0.516080964,0.371845104,0.184135726,-0.810691022,-0.156225502,0.098376047,-0.732221506,0.870878814,-0.708832738,0.000671354,0.104388369
19436,-0.039326795,-0.064306768,0.774924209,-0.84949458,0.979900722,0.431558527,0.151678253,0.269125175,0.666296534,0.486499739,0.876093405,-0.405386879,0.114946247,-0.012545931,-1.595804451,0.076904646,0.320810023,-0.363366724,-0.298034694,-0.061701332,-1.605726594,-0.031245187,0.320506811,-0.410092314,-0.425622954,-0.496751839,-1.623859444,0.179212202,0.022929502,-0.625577472,0.736231987,-0.819083984,0.001348245,0.011352024
19760,0.165676031,0.129751344,2.157538564,-0.897024305,0.574475903,0.308102583,-0.675584009,-0.854349485,0.471791288,-0.03655159,0.13722526,0.93863889,0.113977739,-0.684639361,0.835166186,-0.280975757,-0.124311413,1.304673841,-0.254808683,-0.785861617,0.86284793,-0.446714476,-0.253864398,1.428740941,0.397501041,-0.972112282,1.348843435,-0.278886568,-0.585949624,-1.525703365,1.209306323,-0.345618415,-0.000290995,-0.046795867
19771,-0.230898149,-0.309298972,2.016785831,-0.616156022,0.611615416,0.294008718,-0.023546287,0.097071276,0.199214717,0.117966291,0.042670591,0.391957358,-0.010302322,-0.226381571,-0.713559113,-0.028205525,-0.901703087,0.530010166,-0.283787195,-0.675899417,-0.549087511,-0.11748709,-1.211639693,0.397362321,0.060856766,-0.65903898,-0.645211985,0.016133837,-1.426912374,-1.47979289,0.515453989,-0.54483578,0.001063516,0.057242984
19794,0.113513519,0.105438106,0.931614758,-0.729285279,0.519632086,0.255513351,0.29713353,0.273807772,0.564885586,0.064666439,0.768746944,-0.862048498,0.69247564,-0.073119002,-1.245142108,0.240068202,-0.322370662,-0.808358504,0.158457495,-0.222099911,-1.303697785,0.195514554,-0.098967881,-0.561390349,0.218273209,-0.139639275,-1.05567821,0.326927067,0.008675749,-0.69974944,0.863670521,-0.464698838,1.03E-05,0.040220024
19795,0.132666623,0.116537786,1.065617342,-0.61589188,0.729903331,0.327116403,0.17297449,0.170951157,0.738377902,0.271833048,0.922080254,-0.363457444,0.735006641,0.182629014,-1.042657619,-0.03656925,-0.203289736,-0.239943794,0.303544641,-0.026752805,-1.003757238,0.052963975,0.007032028,-0.121777098,0.272199297,0.063108219,-0.7136226,0.039209485,0.12120004,-0.81874263,0.719000241,-0.623874258,0.000943556,0.082657731
20117,0.604501165,0.622985978,2.021644168,-0.051849558,1.805482517,0.296421876,0.193085616,0.185402912,0.692322047,1.098655726,0.526825248,2.295008004,0.036046896,-1.090689718,0.238399421,0.037938996,-1.034763067,2.335047973,-0.154097789,-1.150980785,0.108954972,0.105036884,-1.260939332,1.986965759,-0.082309273,-1.470908358,0.129090175,0.100233021,-1.311847971,-1.565803906,0.244243576,-1.305688152,0.00138761,0.083254884
20118,0.495736597,0.498033927,2.069061081,-0.379087853,1.811871714,0.373226619,0.055863815,0.123974138,0.947701036,1.005036437,0.887405413,1.869618609,0.193641056,-0.738790185,0.681112103,0.033444191,-0.329774774,2.154664931,-0.112900916,-0.920990471,0.744166937,-0.018461329,-0.608262983,1.895918266,0.027585239,-1.159017104,0.868113372,0.0537002,-0.590765173,-1.582477727,0.616792235,-1.26774376,0.001525237,0.057826885
20119,0.508263623,0.515969204,2.158079698,-0.89679016,1.750822632,0.338933481,0.690680072,0.43335239,1.19429733,0.84982596,1.240602727,1.182090562,0.778917805,-0.280626478,0.525296827,-0.027650945,0.04673985,1.43520099,0.3295074,-0.241533052,0.601524688,-0.111014576,-0.056184641,1.408829541,0.563218454,-0.948477344,1.107164058,-0.063666605,-0.75044509,-1.643122208,1.345708134,-1.233592484,0.001491489,0.015066239
20131,-0.019886342,-0.068913068,1.680016462,-0.401040623,0.481885669,0.689492642,-0.208776648,0.272059669,0.293343966,0.121799418,0.183228129,0.246258276,0.490008484,0.253376356,-0.758361597,-0.202993659,-0.627982882,0.40301192,0.173567475,-0.596594551,-0.723721224,-0.015874276,-0.846147801,0.305507928,0.297769509,0.388917607,-0.60905668,-0.126700109,0.295700883,-1.235666884,0.400338011,-0.46501977,0.001826708,0.173303214
20132,0.354099887,0.347829658,1.767912305,-0.359594152,1.197910893,0.279349936,0.206451351,0.145008596,0.055270539,0.043795083,0.149434554,0.233338801,1.004794804,0.393986622,-0.564399456,-0.175708053,0.514219617,0.327845681,0.726118551,-0.678667292,-0.531561631,-0.39254487,-0.791451763,0.141302675,0.592893872,-0.965798676,-0.367297389,-0.158991191,-1.05075028,-1.327641549,0.580298254,-0.929720727,0.001402083,0.042078697
20153,0.203570364,0.206310116,0.856285867,-0.726995296,0.674174654,0.094268559,0.216868877,0.284950401,0.830554679,0.437283434,0.920127507,-0.291550888,0.491986984,-0.220242308,-1.229798086,0.011042547,-0.473846391,-0.082852186,-0.118732442,-0.302298726,-1.189856833,0.037808464,-0.318867665,0.001691327,-0.071222149,-0.545141264,-1.076217164,0.122838759,-0.483753283,-0.660405206,0.790698572,-0.587636735,-0.00017962,0.063829266
20154,0.098539008,0.084113989,1.000978212,-0.72694037,0.677391155,0.376232662,0.480445901,0.556152198,0.647640768,0.381625407,0.736466207,-0.168323435,0.814559115,-0.050243971,-1.033776481,0.157755087,-0.164750166,-0.141346418,0.425899893,-0.222381454,-1.095845681,0.13697358,-0.025555636,-0.08766339,0.440671532,-0.065079761,-0.965822596,0.211350377,0.215802148,-0.777495837,0.823626478,-0.576144621,0.001107325,0.085481923
20368,-0.145013101,-0.153581104,-0.320099991,0.140982841,0.591138734,0.38748787,0.182203208,0.04029533,-0.718488862,-0.448640445,-0.24540016,-0.76409076,0.394776247,-0.938403132,-0.317558356,-0.334824027,-0.903288054,-0.824150101,-0.01910258,-1.356271404,-0.259413419,-0.449307193,-1.66552196,-0.868226714,0.339025867,-1.167697126,-0.027295669,-0.300813789,-1.910172152,0.235784965,0.426665681,-0.426472675,0.001691326,0.106877568
20475,0.591697448,0.619995829,1.791783579,-0.375495533,1.809547441,0.12556218,-0.079983767,-0.207732401,0.853608239,1.143410515,0.664163352,1.969182548,-0.106854516,-0.786055198,0.663426506,0.00947799,0.057128685,2.430165748,-0.417274361,0.157944241,0.615820674,0.027024519,0.776409462,2.406374828,-0.158419959,-1.08341976,1.124548814,-0.011893139,-0.217027905,-1.394576899,0.761271653,-1.238207123,0.000206257,0.003829784
20477,0.477013332,0.479924066,1.952553885,-0.231327398,1.855678766,0.740385883,-0.115410447,0.176658966,0.421556606,0.909845792,0.288947268,1.988713141,0.240881457,-0.709192345,0.213782199,-0.302585594,-0.696081438,2.197258415,-0.067592821,-0.763755944,0.060864577,-0.085897336,-0.714766648,1.926911626,0.18716234,-0.713825971,0.436889902,-0.275449518,-0.418484606,-1.509512313,0.623314193,-1.346320617,0.002154711,0.151058476
20478,0.281674337,0.258504076,2.080644946,-0.651539487,1.862078885,0.494079259,0.2838088,0.258489927,0.945790895,0.92757331,1.003837039,1.339038373,0.574738763,-0.519685733,0.090567217,-0.102377542,0.012087097,1.557056792,0.27712404,-0.5624321,0.099810228,-0.11557879,-0.000363139,1.399083814,0.499284137,-0.748184729,0.40892032,-0.097235757,-0.003948188,-1.615011457,0.955583938,-1.345139425,0.002012511,0.095386526
20479,0.358918415,0.351111423,2.130182803,0.120231314,1.862072134,0.104567577,0.560309923,0.332110214,0.673584486,0.816180005,1.035339231,0.643964939,0.522416306,-0.282277391,-0.322240998,-0.141938924,-0.246918681,0.8167871,0.293924381,-0.17408859,-0.235868236,0.024477366,-0.015202352,0.769922411,0.289509151,-0.456658772,0.109838881,-0.109139778,-0.354268199,-1.681018732,0.167190516,-1.397573626,0.00169501,0.135669364
20491,-0.047083032,-0.107142961,2.140813706,-0.930640871,0.556290031,0.527789035,-0.364225409,-0.120167066,0.429544555,0.05767983,0.209532031,0.278722342,0.142698964,-0.502829925,-0.139884841,-0.471377804,0.053644516,0.580430846,-0.367582264,-0.872813741,-0.114969591,-0.570877888,-0.191585538,0.6773546,0.21918428,-0.816199554,0.21944771,-0.425580433,-0.118815939,-1.532431658,1.105592609,-0.415169346,0.001019024,0.049170898
